"date","close","volume","open","high","low"
"2017/12/14","25.1700","1084466.0000","25.3200","25.5500","25.1600"
"2017/12/13","25.3300","1060003.0000","25.2600","25.5797","25.1400"
"2017/12/12","25.1400","1775645.0000","24.9400","25.4300","24.6600"
"2017/12/11","24.8200","1320930.0000","24.8000","25.2800","24.8000"
"2017/12/08","24.7400","1400167.0000","25.1200","25.2492","24.5900"
"2017/12/07","24.8000","2199690.0000","24.0700","25.0050","24.0700"
"2017/12/06","24.0700","4787419.0000","25.0000","25.1338","23.5400"
"2017/12/05","24.9900","1640661.0000","25.9000","25.9367","24.9450"
"2017/12/04","25.7100","2944024.0000","26.3200","26.7458","25.4200"
"2017/12/01","26.0700","2367810.0000","26.6800","26.9800","25.9800"
"2017/11/30","26.6600","2120619.0000","26.2600","27.1800","26.1500"
"2017/11/29","26.2300","1926242.0000","26.4500","26.5500","25.4000"
"2017/11/28","26.4200","1982027.0000","25.8500","26.4450","25.0000"
"2017/11/27","25.8200","1486794.0000","26.1700","26.5700","25.8000"
"2017/11/24","26.2900","859013.0000","26.2600","26.6100","26.0900"
"2017/11/22","26.1300","1229194.0000","25.8400","26.1999","25.7700"
"2017/11/21","25.9100","1789512.0000","26.0700","26.2600","25.7500"
"2017/11/20","26.0700","1692526.0000","25.6800","26.2000","25.5319"
"2017/11/17","25.6800","1715105.0000","26.0900","26.3800","25.6000"
"2017/11/16","26.1100","1811249.0000","25.5700","26.2000","25.3800"
"2017/11/15","25.2900","1763962.0000","25.2900","25.7500","25.2300"
"2017/11/14","25.8200","2692161.0000","26.1800","26.2494","25.3600"
"2017/11/13","26.4000","2627771.0000","25.3000","26.4000","25.2100"
"2017/11/10","25.5500","3417833.0000","25.8400","26.2500","25.1600"
"2017/11/09","25.9300","7542370.0000","28.5000","28.5000","25.5200"
"2017/11/08","27.8300","6125786.0000","28.3800","28.4700","27.1600"
"2017/11/07","28.3800","2725422.0000","29.8000","29.8902","28.0500"
"2017/11/06","29.8800","1124802.0000","30.1300","30.4200","29.7550"
"2017/11/03","30.2400","1716298.0000","30.3500","30.7400","29.6300"
"2017/11/02","30.3400","2231021.0000","31.5100","31.5100","29.8200"
"2017/11/01","31.5100","1145422.0000","32.0800","32.1990","31.4200"
"2017/10/31","31.9500","998450.0000","32.0000","32.2475","31.7900"
"2017/10/30","31.8800","1001795.0000","31.9000","32.4800","31.7000"
"2017/10/27","31.9900","1212814.0000","31.7600","32.1000","31.2900"
"2017/10/26","31.3900","924280.0000","31.4400","31.7700","31.1300"
"2017/10/25","31.2700","1579193.0000","31.7500","32.0900","31.2200"
"2017/10/24","31.9000","1057406.0000","32.1700","32.2000","31.7500"
"2017/10/23","31.8500","1310031.0000","32.6200","33.0600","31.8300"
"2017/10/20","32.6200","3086093.0000","31.8600","33.0690","31.4700"
"2017/10/19","31.4400","995702.0000","31.2000","31.7974","30.7300"
"2017/10/18","31.6100","893359.0000","31.9000","31.9000","31.1700"
"2017/10/17","31.7400","620398.0000","31.8700","32.1200","31.6300"
"2017/10/16","31.9400","872297.0000","32.6000","32.7800","31.8801"
"2017/10/13","32.5800","835353.0000","32.2100","32.6800","31.8500"
"2017/10/12","32.1200","678923.0000","32.6700","32.8700","31.9800"
"2017/10/11","32.6700","1139310.0000","32.1300","32.7500","31.9100"
"2017/10/10","32.1300","1018286.0000","32.4700","32.8800","31.7900"
"2017/10/09","32.2300","813476.0000","32.3500","32.9500","32.2000"
"2017/10/06","32.3500","1221903.0000","31.8900","32.8500","31.7310"
"2017/10/05","32.1600","1358999.0000","31.6700","32.2200","31.6100"
"2017/10/04","31.3700","1109085.0000","31.6300","31.9700","31.2610"
"2017/10/03","31.5700","1296955.0000","31.0200","31.7600","30.8700"
"2017/10/02","30.8700","1486168.0000","29.8700","30.9900","29.8500"
"2017/09/29","29.8500","904070.0000","29.6000","30.0000","29.5200"
"2017/09/28","29.6800","1161962.0000","29.0300","29.7000","28.6000"
"2017/09/27","29.1400","4737623.0000","30.0300","30.3800","28.7600"
"2017/09/26","27.5200","4249854.0000","29.6300","29.9000","26.8600"
"2017/09/25","29.4700","1707846.0000","30.8900","30.8900","29.0601"
"2017/09/22","30.8300","898302.0000","30.2500","31.1600","30.2500"
"2017/09/21","30.5000","911907.0000","30.5800","30.9700","30.0501"
"2017/09/20","30.5100","915681.0000","30.9700","30.9714","30.3150"
"2017/09/19","31.0400","564425.0000","31.4700","31.5424","30.9500"
"2017/09/18","31.1400","1355985.0000","30.8700","31.6600","30.8500"
"2017/09/15","30.8800","3360275.0000","30.9400","31.6300","30.5300"
"2017/09/14","31.0400","950018.0000","30.5800","31.2800","30.5300"
"2017/09/13","30.6200","1206762.0000","30.2900","31.1100","30.2900"
"2017/09/12","30.2300","1415206.0000","30.7200","31.0400","30.0900"
"2017/09/11","30.6500","1303311.0000","30.0600","30.7500","30.0270"
"2017/09/08","29.7700","994536.0000","29.6400","30.2800","29.5228"
"2017/09/07","29.7300","1175016.0000","29.9100","30.2800","29.5000"
"2017/09/06","29.8800","1690777.0000","29.2600","30.1940","29.1700"
"2017/09/05","29.3500","1454912.0000","28.7800","29.4300","28.4300"
"2017/09/01","28.9600","1226052.0000","29.3500","29.6950","28.8000"
"2017/08/31","29.2800","1566957.0000","29.2500","29.7400","28.9500"
"2017/08/30","29.2300","842363.0000","29.1000","29.3900","28.8515"
"2017/08/29","28.9900","1081166.0000","28.3200","29.2700","28.2500"
"2017/08/28","28.5900","848106.0000","29.0500","29.1651","28.4400"
"2017/08/25","28.9300","989384.0000","29.3000","29.4500","28.5200"
"2017/08/24","29.3200","1435356.0000","29.3300","29.6000","28.9500"
"2017/08/23","28.9800","832621.0000","28.8000","29.2000","28.6902"
"2017/08/22","29.0500","1801246.0000","29.2200","29.2650","28.2100"
"2017/08/21","29.2100","1232436.0000","29.8300","30.0400","28.8300"
"2017/08/18","29.9100","1408780.0000","30.2000","30.5000","29.6800"
"2017/08/17","30.3200","1428724.0000","31.0300","31.2400","30.2500"
"2017/08/16","31.0600","1140682.0000","31.0600","31.6900","31.0000"
"2017/08/15","31.0000","1357652.0000","31.2700","31.4900","30.7800"
"2017/08/14","31.4100","1775077.0000","31.8000","32.0000","31.0600"
"2017/08/11","31.3800","3415456.0000","30.2000","31.8900","29.7600"
"2017/08/10","30.2800","4652375.0000","32.3300","32.4000","30.0700"
"2017/08/09","33.0000","2022244.0000","33.0600","33.6200","32.9300"
"2017/08/08","33.5800","12591860.0000","34.1900","34.7400","32.4100"
"2017/08/07","30.5300","4994877.0000","29.5200","30.6700","29.5000"
"2017/08/04","29.2100","1123871.0000","28.9900","29.3900","28.7300"
"2017/08/03","28.8500","1677111.0000","28.4000","29.2100","28.2600"
"2017/08/02","28.4000","1417290.0000","29.0400","29.0400","27.9300"
"2017/08/01","28.9900","1415942.0000","29.3100","29.6600","28.7000"
"2017/07/31","29.1700","1564063.0000","30.0000","30.3500","28.5500"
"2017/07/28","29.9100","1276025.0000","29.9500","30.4800","29.7723"
"2017/07/27","30.1500","1607765.0000","31.5100","31.6300","29.7000"
"2017/07/26","31.5000","795119.0000","31.4900","31.7500","31.2800"
"2017/07/25","31.4000","1188567.0000","31.0400","31.9703","31.0000"
"2017/07/24","30.9900","1115080.0000","31.0800","31.2399","30.6778"
"2017/07/21","30.9300","1604665.0000","31.1400","31.7790","30.4800"
"2017/07/20","31.0600","2236962.0000","31.5800","32.2300","30.8300"
"2017/07/19","31.4900","1650267.0000","30.7500","31.7600","30.5301"
"2017/07/18","30.4100","1955830.0000","30.4500","31.0230","30.0200"
"2017/07/17","30.4500","1588426.0000","29.1800","30.6200","29.1100"
"2017/07/14","29.2300","1164378.0000","29.6200","29.6800","28.8800"
"2017/07/13","29.4800","1452797.0000","29.6700","30.0500","29.1700"
"2017/07/12","29.4600","1121758.0000","29.6800","29.7500","29.3600"
